Unnamed: 0,book_id,title,year,pages,description,genres,average_rating,ratings_count,books_count,authors
14,17,"Catching Fire (The Hunger Games, #2)",2009,391,sparks are ignitingflames are spreadingand the capital wants revengeagainst all odds katniss everdeen has survived the hunger games she and fellow district 12 tribute peeta mellark are miraculously still alive katniss should be relieved happy even yet nothing is the way katniss wishes it to be gale holds her at an icy distance peeta has turned his back on her completely and there are whispers of a rebellion against the capitol  a rebellion that katniss and peeta may have helped createmuch to her shock katniss has fueled an unrest that shes afraid she cannot stop and what scares her even more is that shes not entirely convinced she should try as time draws near for katniss and peeta to visit the districts on the capitols cruel victory tour the stakes are higher than ever if they cant prove without a shadow of a doubt that they are lost in their love for each other the consequences will be horrifying katniss is about to be tested as never before,"youngadult, fiction, fantasy, sciencefiction, romance",4.3,1831039,201,Suzanne Collins
15,18,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",1999,435,harry potters third year at hogwarts is full of new dangers a convicted murderer sirius black has broken out of azkaban prison and it seems hes after harry now hogwarts is being patrolled by the dementors the azkaban guards who are hunting sirius but harry cant imagine that sirius or for that matter the evil lord voldemort could be more frightening than the dementors themselves who have the terrible power to fill anyone they come across with aching loneliness and despair meanwhile life continues as usual at hogwarts a topoftheline broom takes harrys success at quidditch the sport of the wizarding world to new heights a cute fourthyear student catches his eye and he becomes close with the new defense of the dark arts teacher who was a childhood friend of his father yet despite the relative safety of life at hogwarts and the best efforts of the dementors the threat of sirius black grows ever closer but if harry has learned anything from his education in wizardry it is that things are often not what they seem tragic revelations heartwarming surprises and highstakes magical adventures await the boy wizard in this funny and poignant third installment of the beloved seriesscholasticcom,"fantasy, youngadult, fiction, classics",4.53,1832823,376,J.K. Rowling
16,20,"Mockingjay (The Hunger Games, #3)",2010,390,the final book in the groundbreaking hunger games trilogy this new foiled edition of mockingjay is available for a limited period of time against all odds katniss everdeen has survived the hunger games twice but now that shes made it out of the bloody arena alive shes still not safe the capitol is angry the capitol wants revenge who do they think should pay for the unrest? katniss and whats worse president snow has made it clear that no one else is safe either not katnisss family not her friends not the people of district 12,"youngadult, fiction, fantasy, sciencefiction, romance",4.03,1719760,239,Suzanne Collins
17,21,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",2003,870,there is a door at the end of a silent corridor and it’s haunting harry pottter’s dreams why else would he be waking in the middle of the night screaming in terror?harry has a lot on his mind for this his fifth year at hogwarts a defense against the dark arts teacher with a personality like poisoned honey; a big surprise on the gryffindor quidditch team; and the looming terror of the ordinary wizarding level exams but all these things pale next to the growing threat of hewhomustnotbenamed  a threat that neither the magical government nor the authorities at hogwarts can stopas the grasp of darkness tightens harry must discover the true depth and strength of his friends the importance of boundless loyalty and the shocking price of unbearable sacrificehis fate depends on them all,"fantasy, youngadult, fiction, classics",4.46,1735368,307,J.K. Rowling
19,23,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",1998,341,ever since harry potter had come home for the summer the dursleys had been so mean and hideous that all harry wanted was to get back to the hogwarts school for witchcraft and wizardry but just as he’s packing his bags harry receives a warning from a strange impish creature who says that if harry returns to hogwarts disaster will strikeand strike it does for in harry’s second year at hogwarts fresh torments and horrors arise including an outrageously stuckup new professor and a spirit who haunts the girls’ bathroom but then the real trouble begins – someone is turning hogwarts students to stone could it be draco malfoy a more poisonous rival than ever? could it possible be hagrid whose mysterious past is finally told? or could it be the one everyone at hogwarts most suspects… harry potter himself!,"fantasy, youngadult, fiction, classics",4.37,1779331,398,J.K. Rowling
20,24,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",2000,734,harry potter is midway through his training as a wizard and his coming of age harry wants to get away from the pernicious dursleys and go to the international quidditch cup with hermione ron and the weasleys he wants to dream about cho chang his crush and maybe do more than dream he wants to find out about the mysterious event thats supposed to take place at hogwarts this year an event involving two other rival schools of magic and a competition that hasnt happened for hundreds of years he wants to be a normal fourteenyearold wizard but unfortunately for harry potter hes not normal  even by wizarding standardsand in his case different can be deadly,"fantasy, youngadult, fiction, classics",4.53,1753043,332,J.K. Rowling
21,25,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",2007,759,harry potter is leaving privet drive for the last time but as he climbs into the sidecar of hagrid’s motorbike and they take to the skies he knows lord voldemort and the death eaters will not be far behindthe protective charm that has kept him safe until now is broken but the dark lord is breathing fear into everything he loves and he knows he can’t keep hidingto stop voldemort harry knows he must find the remaining horcruxes and destroy themhe will have to face his enemy in one final battlejkrowlingcom,"fantasy, youngadult, fiction, classics",4.61,1746574,263,J.K. Rowling
23,27,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",2005,652,the war against voldemort is not going well; even muggle governments are noticing ron scans the obituary pages of the daily prophet looking for familiar names dumbledore is absent from hogwarts for long stretches of time and the order of the phoenix has already suffered lossesand yet   as in all wars life goes on the weasley twins expand their business sixthyear students learn to apparate  and lose a few eyebrows in the process teenagers flirt and fight and fall in love classes are never straightforward through harry receives some extraordinary help from the mysterious halfblood princeso its the home front that takes center stage in the multilayered sixth installment of the story of harry potter here at hogwarts harry will search for the full and complete story of the boy who became lord voldemort  and thereby find what may be his only vulnerability,"fantasy, youngadult, fiction, classics",4.54,1678823,275,J.K. Rowling
29,33,Memoirs of a Geisha,1997,503,a literary sensation and runaway bestseller this brilliant debut novel presents with seamless authenticity and exquisite lyricism the true confessions of one of japans most celebrated geishain memoirs of a geisha we enter a world where appearances are paramount; where a girls virginity is auctioned to the highest bidder; where women are trained to beguile the most powerful men; and where love is scorned as illusion it is a unique and triumphant work of fiction  at once romantic erotic suspenseful  and completely unforgettable,"fiction, historicalfiction, romance, classics",4.08,1300209,220,Arthur Golden
32,37,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",1950,206,narniathe land beyond the wardrobe door a secret place frozen in eternal winter a magical country waiting to be set freelucy is the first to find the secret of the wardrobe in the professors mysterious old house at first her brothers and sister dont believe her when she tells of her visit to the land of narnia but soon edmund then peter and susan step through the wardrobe themselves in narnia they find a country buried under the evil enchantment of the white witch when they meet the lion aslan they realize theyve been called to a great adventure and bravely join the battle to free narnia from the witchs sinister spell,"fantasy, classics, fiction, youngadult, christian",4.19,1531800,474,C.S. Lewis
37,42,"Little Women (Little Women, #1)",1868,449,generations of readers young and old male and female have fallen in love with the march sisters of louisa may alcott’s most popular and enduring novel little women here are talented tomboy and authortobe jo tragically frail beth beautiful meg and romantic spoiled amy united in their devotion to each other and their struggles to survive in new england during the civil warit is no secret that alcott based little women on her own early life while her father the freethinking reformer and abolitionist bronson alcott hobnobbed with such eminent male authors as emerson thoreau and hawthorne louisa supported herself and her sisters with woman’s work” including sewing doing laundry and acting as a domestic servant but she soon discovered she could make more money writing little women brought her lasting fame and fortune and far from being the girl’s book” her publisher requested it explores such timeless themes as love and death war and peace the conflict between personal ambition and family responsibilities and the clash of cultures between europe and america,"classics, fiction, historicalfiction, youngadult, romance",4.04,1257121,1707,Louisa May Alcott
38,43,Jane Eyre,1847,532,orphaned as a child jane has felt an outcast her whole young life her courage is tested once again when she arrives at thornfield hall where she has been hired by the brooding proud edward rochester to care for his ward adèle jane finds herself drawn to his troubled yet kind spirit she falls in love hard but there is a terrifying secret inside the gloomy forbidding thornfield hall is rochester hiding from jane? will jane be left heartbroken and exiled once again?,"classics, fiction, romance, historicalfiction",4.1,1198557,2568,Charlotte Brontë
41,47,The Book Thief,2005,552,librarians note an alternate cover edition can be found hereit is 1939 nazi germany the country is holding its breath death has never been busier and will be busier stillby her brothers graveside liesels life is changed when she picks up a single object partially hidden in the snow it is the gravediggers handbook left behind there by accident and it is her first act of book thievery so begins a love affair with books and words as liesel with the help of her accordianplaying foster father learns to read soon she is stealing books from nazi bookburnings the mayors wifes library wherever there are books to be foundbut these are dangerous times when liesels foster family hides a jew in their basement liesels world is both opened up and closed downin superbly crafted writing that burns with intensity awardwinning author markus zusak has given us one of the most enduring stories of our timenote this title was not published as ya fiction,"historicalfiction, fiction, youngadult, classics",4.36,1159741,251,Markus Zusak
47,54,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",1979,193,seconds before the earth is demolished to make way for a galactic freeway arthur dent is plucked off the planet by his friend ford prefect a researcher for the revised edition of the hitchhikers guide to the galaxy who for the last fifteen years has been posing as an outofwork actortogether this dynamic pair begin a journey through space aided by quotes from the hitchhikers guide a towel is about the most massively useful thing an interstellar hitchhiker can have and a galaxyfull of fellow travelers zaphod beeblebroxthe twoheaded threearmed exhippie and totally outtolunch president of the galaxy; trillian zaphods girlfriend formally tricia mcmillan whom arthur tried to pick up at a cocktail party once upon a time zone; marvin a paranoid brilliant and chronically depressed robot; veet voojagig a former graduate student who is obsessed with the disappearance of all the ballpoint pens he bought over the years,"sciencefiction, fiction, fantasy, classics",4.2,936782,257,Douglas Adams
58,65,Slaughterhouse-Five,1969,275,selected by the modern library as one of the 100 best novels of all time slaughterhousefive an american classic is one of the worlds great antiwar books centering on the infamous firebombing of dresden billy pilgrims odyssey through time reflects the mythic journey of our own fractured lives as we search for meaning in what we fear most,"classics, fiction, sciencefiction, historicalfiction, fantasy",4.06,846488,241,Kurt Vonnegut Jr.
59,66,Gone with the Wind,1936,1037,scarlett ohara the beautiful spoiled daughter of a welltodo georgia plantation owner must use every means at her disposal to claw her way out of the poverty she finds herself in after shermans march to the sea,"classics, historicalfiction, fiction, romance",4.28,873981,409,Margaret Mitchell
63,70,"Ender's Game (Ender's Saga, #1)",1985,324,andrew ender wiggin thinks he is playing computer simulated war games; he is in fact engaged in something far more desperate the result of genetic experimentation ender may be the military genius earth desperately needs in a war against an alien enemy seeking to destroy all human life the only way to find out is to throw ender into ever harsher training to chip away and find the diamond inside or destroy him utterly ender wiggin is six years old when it begins he will grow up fastbut ender is not the only result of the experiment the war with the buggers has been raging for a hundred years and the quest for the perfect general has been underway almost as long enders two older siblings peter and valentine are every bit as unusual as he is but in very different ways while peter was too uncontrollably violent valentine very nearly lacks the capability for violence altogether neither was found suitable for the militarys purpose but they are driven by their jealousy of ender and by their inbred drive for power peter seeks to control the political process to become a ruler valentines abilities turn more toward the subtle control of the beliefs of commoner and elite alike through powerfully convincing essays hiding their youth and identities behind the anonymity of the computer networks these two begin working together to shape the destiny of earthan earth that has no future at all if their brother ender failssource hatrackcom,"sciencefiction, fiction, youngadult, fantasy, classics",4.3,813439,224,Orson Scott Card
64,72,The Shining (The Shining #1),1977,659,jack torrances new job at the overlook hotel is the perfect chance for a fresh start as the offseason caretaker at the atmospheric old hotel hell have plenty of time to spend reconnecting with his family and working on his writing but as the harsh winter weather sets in the idyllic location feels ever more remoteand more sinister and the only one to notice the strange and terrible forces gathering around the overlook is danny torrance a uniquely gifted fiveyearold,"horror, fiction, thriller, classics, fantasy, mystery, paranormal, suspense",4.17,791850,289,Stephen King
68,76,Sense and Sensibility,1811,409,alternate cover edition of isbn the more i know of the world the more am i convinced that i shall never see a man whom i can really love i require so much!marianne dashwood wears her heart on her sleeve and when she falls in love with the dashing but unsuitable john willoughby she ignores her sister elinors warning that her impulsive behaviour leaves her open to gossip and innuendo meanwhile elinor always sensitive to social convention is struggling to conceal her own romantic disappointment even from those closest to her through their parallel experience of loveand its threatened lossthe sisters learn that sense must mix with sensibility if they are to find personal happiness in a society where status and money govern the rules of lovethis edition includes explanatory notes textual variants between the first and second editions and tony tanners introduction to the original penguin classic edition,"classics, fiction, historicalfiction",4.06,738894,1969,Jane Austen
72,80,The Little Prince,1946,93,a pbs great american read top 100 pickfew stories are as widely read and as universally cherished by children and adults alike as the little prince richard howards translation of the beloved classic beautifully reflects saintexupérys unique and gifted style howard an acclaimed poet and one of the preeminent translators of our time has excelled in bringing the english text as close as possible to the french in language style and most important spirit the artwork in this edition has been restored to match in detail and in color saintexupérys original artwork combining richard howards translation with restored original art this definitive englishlanguage edition of the little prince will capture the hearts of readers of all ages,"classics, fiction, fantasy, youngadult, philosophy",4.28,738757,1708,Antoine de SaintExupéry
84,93,The Secret Garden,1911,331,one of the most delightful and enduring classics of childrens literature the secret garden by victorian author frances hodgson burnett has remained a firm favorite with children the world over ever since it made its first appearance initially published as a serial story in 1910 in the american magazine it was brought out in novel form in 1911  the plot centers round mary lennox a young english girl who returns to england from india having suffered the immense trauma by losing both her parents in a cholera epidemic however her memories of her parents are not pleasant as they were a selfish neglectful and pleasureseeking couple mary is given to the care of her uncle archibald craven whom she has never met she travels to his home misselthwaite manor located in the gloomy yorkshire a vast change from the sunny and warm climate she was used to when she arrives she is a rude stubborn and given to stormy temper tantrums however her nature undergoes a gradual transformation when she learns of the tragedies that have befallen her strict and disciplinarian uncle whom she earlier feared and despised once when hes away from home mary discovers a charming walled garden which is always kept locked the mystery deepens when she hears sounds of sobbing from somewhere within her uncles vast mansion the kindly servants ignore her queries or pretend they havent heard spiking marys curiosity  the secret garden appeals to both young and old alike it has wonderful elements of mystery spirituality charming characters and an authentic rendering of childhood emotions and experiences commonsense truth and kindness compassion and a belief in the essential goodness of human beings lie at the heart of this unforgettable story it is the best known of frances hodgson burnetts works though most of us have definitely heard of if not read her other novel little lord fauntleroy  the book has been adapted extensively on stage film and television and translated into all the worlds major languages in 1991 a japanese anime version was launched for television in japan it remains a popular and beloved story of a childs journey into maturity and a mustread for every child parent teacher and anyone who would enjoy this fascinating glimpse of childhood one of the most delightful and enduring classics of childrens literature the secret garden by victorian author frances hodgson burnett has remained a firm favorite with children the world over ever since it made its first appearance initially published as a serial story in 1910 in the american magazine it was brought out in novel form in 1911 ,"classics, fiction, youngadult, historicalfiction, fantasy",4.12,639357,1350,Frances Hodgson Burnett
85,94,One Hundred Years of Solitude,1967,417,the brilliant bestselling landmark novel that tells the story of the buendia family and chronicles the irreconcilable conflict between the desire for solitude and the need for lovein rich imaginative prose that has come to define an entire genre known as magical realism,"fiction, classics, fantasy, historicalfiction",4.04,490565,555,Gabriel García Márquez
86,95,The Picture of Dorian Gray,1891,272,written in his distinctively dazzling manner oscar wilde’s story of a fashionable young man who sells his soul for eternal youth and beauty is the author’s most popular work the tale of dorian gray’s moral disintegration caused a scandal when it ﬁrst appeared in 1890 but though wilde was attacked for the novel’s corrupting inﬂuence he responded that there is in fact “a terrible moral in dorian gray” just a few years later the book and the aestheticmoral dilemma it presented became issues in the trials occasioned by wilde’s homosexual liaisons which resulted in his imprisonment of dorian gray’s relationship to autobiography wilde noted in a letter “basil hallward is what i think i am lord henry what the world thinks me dorian what i would like to bein other ages perhaps,"classics, fiction, horror, fantasy",4.06,590014,2303,Oscar Wilde
89,98,"The Girl Who Played with Fire (Millennium, #2)",2006,503,part blistering espionage thriller part riveting police procedural and part piercing exposé on social injustice the girl who played with fire is a masterful endlessly satisfying novel  mikael blomkvist crusading publisher of the magazine millennium has decided to run a story that will expose an extensive sex trafficking operation on the eve of its publication the two reporters responsible for the article are murdered and the fingerprints found on the murder weapon belong to his friend the troubled genius hacker lisbeth salander blomkvist convinced of salander’s innocence plunges into an investigation meanwhile salander herself is drawn into a murderous game of cat and mouse which forces her to face her dark pastfrom the trade paperback edition,"fiction, mystery, thriller, crime, suspense, contemporary",4.22,563994,209,Stieg Larsson
94,103,The Count of Monte Cristo,1844,1276,thrown in prison for a crime he has not committed edmond dantes is confined to the grim fortress of if there he learns of a great hoard of treasure hidden on the isle of monte cristo and he becomes determined not only to escape but also to unearth the treasure and use it to plot the destruction of the three men responsible for his incarceration dumas’ epic tale of suffering and retribution inspired by a reallife case of wrongful imprisonment was a huge popular success when it was first serialized in the 1840srobin buss’s lively english translation is complete and unabridged and remains faithful to the style of dumas’s original this edition includes an introduction explanatory notes and suggestions for further reading,"classics, fiction, historicalfiction, romance",4.21,555822,1310,Alexandre Dumas
99,109,Les Misérables,1862,1463,introducing one of the most famous characters in literature jean valjeanthe noble peasant imprisoned for stealing a loaf of breadles misérables ranks among the greatest novels of all time in it victor hugo takes readers deep into the parisian underworld immerses them in a battle between good and evil and carries them to the barricades during the uprising of 1832 with a breathtaking realism that is unsurpassed in modern prose within his dramatic story are themes that capture the intellect and the emotions crime and punishment the relentless persecution of valjean by inspector javert the desperation of the prostitute fantine the amorality of the rogue thénardier and the universal desire to escape the prisons of our own minds les misérables gave victor hugo a canvas upon which he portrayed his criticism of the french political and judicial systems but the portrait that resulted is larger than life epic in scopean extravagant spectacle that dazzles the senses even as it touches the heart,"classics, fiction, historicalfiction, romance",4.14,513407,1319,Victor Hugo
100,110,"A Clash of Kings  (A Song of Ice and Fire, #2)",1998,969,a comet the color of blood and flame cuts across the sky two great leaderslord eddard stark and robert baratheonwho hold sway over an age of enforced peace are dead victims of royal treachery now from the ancient citadel of dragonstone to the forbidding shores of winterfell chaos reigns six factions struggle for control of a divided land and the iron throne of the seven kingdoms preparing to stake their claims through tempest turmoil and war it is a tale in which brother plots against brother and the dead rise to walk in the night here a princess masquerades as an orphan boy; a knight of the mind prepares a poison for a treacherous sorceress; and wild men descend from the mountains of the moon to ravage the countryside against a backdrop of incest and fratricide alchemy and murder victory may go to the men and women possessed of the coldest steeland the coldest hearts for when kings clash the whole land trembleshere is the second volume in george rr martin magnificent cycle of novels that includes a game of thrones and a storm of swords as a whole this series comprises a genuine masterpiece of modern fantasy bringing together the best the genre has to offer magic mystery intrigue romance and adventure fill these pages and transport us to a world unlike any we have ever experienced already hailed as a classic george rr martin stunning series is destined to stand as one of the great achievements of imaginative fiction,"fantasy, fiction",4.4,523303,202,George R.R. Martin
107,119,The Handmaid's Tale,1985,314,offred is a handmaid in the republic of gilead she may leave the home of the commander and his wife once a day to walk to food markets whose signs are now pictures instead of words because women are no longer allowed to read she must lie on her back once a month and pray that the commander makes her pregnant because in an age of declining births offred and the other handmaids are valued only if their ovaries are viable offred can remember the years before when she lived and made love with her husband luke; when she played with and protected her daughter; when she had a job money of her own and access to knowledge but all of that is gone now    funny unexpected horrifying and altogether convincing the handmaids tale is at once scathing satire dire warning and tour de force,"fiction, classics, sciencefiction, fantasy",4.06,607889,236,Margaret Atwood
115,129,One Flew Over the Cuckoo's Nest,1962,325,tyrannical nurse ratched rules her ward in an oregon state mental hospital with a strict and unbending routine unopposed by her patients who remain cowed by mindnumbing medication and the threat of electric shock therapy but her regime is disrupted by the arrival of mcmurphy – the swaggering funloving trickster with a devilish grin who resolves to oppose her rules on behalf of his fellow inmates his struggle is seen through the eyes of chief bromden a seemingly mute halfindian patient who understands mcmurphys heroic attempt to do battle with the powers that keep them imprisoned ken keseys extraordinary first novel is an exuberant ribald and devastatingly honest portrayal of the boundaries between sanity and madness,"classics, fiction, psychology, contemporary",4.18,491642,275,Ken Kesey
119,133,"Anne of Green Gables (Anne of Green Gables, #1)",1908,320,as soon as anne shirley arrives at the snug white farmhouse called green gables she is sure she wants to stay forever    but will the cuthberts send her back to to the orphanage? anne knows shes not what they expecteda skinny girl with fiery red hair and a temper to match if only she can convince them to let her stay shell try very hard not to keep rushing headlong into scrapes and blurting out the first thing that comes to her mind anne is not like anyone else the cuthberts agree; she is speciala girl with an enormous imagination this orphan girl dreams of the day when she can call herself anne of green gables,"classics, fiction, youngadult, historicalfiction",4.23,502247,1314,L.M. Montgomery
128,142,"The Pillars of the Earth (The Kingsbridge Series, #1)",1989,976,ken follett is known worldwide as the master of splitsecond suspense but his most beloved and bestselling book tells the magnificent tale of a twelfthcentury monk driven to do the seemingly impossible build the greatest gothic cathedral the world has ever knowneverything readers expect from follett is here intrigue fastpaced action and passionate romance but what makes the pillars of the earth extraordinary is the time the twelfth century; the place feudal england; and the subject the building of a glorious cathedral follett has recreated the crude flamboyant england of the middle ages in every detail the vast forests the walled towns the castles and the monasteries become a familiar landscape against this richly imagined and intricately interwoven backdrop filled with the ravages of war and the rhythms of daily life the master storyteller draws the reader irresistibly into the intertwined lives of his characters into their dreams their labors and their loves tom the master builder; aliena the ravishingly beautiful noblewoman; philip the prior of kingsbridge; jack the artist in stone; and ellen the woman of the forest who casts a terrifying curse from humble stonemason to imperious monarch each character is brought vividly to lifethe building of the cathedral with the almost eerie artistry of the unschooled stonemasons is the center of the drama around the site of the construction follett weaves a story of betrayal revenge and love which begins with the public hanging of an innocent man and ends with the humiliation of a kingfor the movie tiein edition with the same isbn go to this alternate cover edition,"historicalfiction, fiction, fantasy, classics",4.29,462517,255,Ken Follett
140,155,"The Two Towers (The Lord of the Rings, #2)",1954,322,the fellowship was scattered some were bracing hopelessly for war against the ancient evil of sauron some were contending with the treachery of the wizard saruman only frodo and sam were left to take the accursed ring of power to be destroyed in mordor–the dark kingdom where sauron was supreme their guide was gollum deceitful and lustfilled slave to the corruption of the ring thus continues the magnificent bestselling tale of adventure begun in the fellowship of the ring which reaches its soulstirring climax in the return of the king,"fantasy, fiction, classics",4.42,480446,453,J.R.R. Tolkien
143,158,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",1964,176,charlie buckets wonderful adventure begins when he finds one of mr willy wonkas precious golden tickets and wins a whole day inside the mysterious chocolate factory little does he know the surprises that are in store for him! back cover,"fantasy, fiction, classics, youngadult",4.1,453959,338,Roald Dahl
